Year,Age,Gender,Rate
2010,25,Female,52838964.29
2010,26,Female,68007615.24
2010,27,Female,82068103.06
2010,28,Female,157438133.7
2010,29,Female,226936203.3
2010,30,Female,176410769.1
2010,31,Female,116892129.5
2010,32,Female,142933054.1
2010,33,Female,142028872.8
2010,34,Female,79799762.01
2010,35,Female,460305278.1
2010,36,Female,252969189.2
2010,37,Female,531648861.4
2010,38,Female,320871813
2010,39,Female,181518318.5
2010,40,Female,156322256.5
2010,41,Female,304710450.1
2010,42,Female,609244552.6
2010,43,Female,299785056
2010,44,Female,267193491.4
2010,45,Female,250266642.6
2010,46,Female,195918854.1
2010,47,Female,240706555.4
2010,48,Female,204311008.8
2010,49,Female,265196942.7
2010,50,Female,283916833.2
2010,51,Female,219770460.6
2010,52,Female,152833068.9
2010,53,Female,158253305.7
2010,54,Female,64724140.46
2010,55,Female,112065757.5
2010,56,Female,95231883.62
2010,57,Female,46791332.25
2010,58,Female,48965660.71
2010,59,Female,18742559.44
2010,60,Female,35407140.89
2010,61,Female,11607310.66
2010,62,Female,3246018.756
2010,63,Female,7462425.781
2010,64,Female,5805755.847
2010,65,Female,4800344.773
2010,66,Female,2915973.773
2010,67,Female,1803422.542
2010,68,Female,2868160.515
2010,69,Female,470214
2011,17,Female,2612134897
2011,18,Female,999869149.6
2011,19,Female,912937460.2
2011,20,Female,6246185749
2011,21,Female,2541991920
2011,22,Female,3463411162
2011,23,Female,6634084358
2011,24,Female,13073255793
2011,25,Female,19644396696
2011,26,Female,28469739279
2011,27,Female,35478971150
2011,28,Female,42447931392
2011,29,Female,47358645839
2011,30,Female,53599989517
2011,31,Female,56902646082
2011,32,Female,58676905172
2011,33,Female,58245981708
2011,34,Female,57819604677
2011,35,Female,59799319109
2011,36,Female,60020486949
2011,37,Female,1.66E+12
2011,38,Female,59806809779
2011,39,Female,61993543154
2011,40,Female,68156918535
2011,41,Female,74862956919
2011,42,Female,80539554957
2011,43,Female,87340175659
2011,44,Female,92222205632
2011,45,Female,96082773845
2011,46,Female,98519989205
2011,47,Female,1.04E+11
2011,48,Female,1.06E+11
2011,49,Female,97124458663
2011,50,Female,90067145624
2011,51,Female,74688756115
2011,52,Female,66811961887
2011,53,Female,51185763841
2011,54,Female,36252054911
2011,55,Female,24774198517
2011,56,Female,23820641215
2011,57,Female,16707462523
2011,58,Female,11427472906
2011,59,Female,8036309704
2011,60,Female,9495986848
2011,61,Female,6742210206
2011,62,Female,4563555232
2011,63,Female,3342547726
2011,64,Female,2161873644
2011,65,Female,1601041944
2011,66,Female,1050104710
2011,67,Female,550074787.1
2011,68,Female,248803795.5
2011,69,Female,64303496.11
2011,70,Female,470214
2012,17,Female,5746920745
2012,18,Female,2241263353
2012,19,Female,1480631671
2012,20,Female,3437941816
2012,21,Female,6636524234
2012,22,Female,5364378579
2012,23,Female,8212695689
2012,24,Female,14358588095
2012,25,Female,25453408008
2012,26,Female,36914138115
2012,27,Female,50456932860
2012,28,Female,60095542401
2012,29,Female,70237832068
2012,30,Female,79537086675
2012,31,Female,86730339884
2012,32,Female,91423206128
2012,33,Female,93116769108
2012,34,Female,93853592683
2012,35,Female,96522951396
2012,36,Female,98189544961
2012,37,Female,1.78E+11
2012,38,Female,1.66E+12
2012,39,Female,96738180834
2012,40,Female,1.01E+11
2012,41,Female,1.10E+11
2012,42,Female,1.21E+11
2012,43,Female,1.29E+11
2012,44,Female,1.37E+11
2012,45,Female,1.38E+11
2012,46,Female,1.49E+11
2012,47,Female,1.53E+11
2012,48,Female,1.55E+11
2012,49,Female,1.59E+11
2012,50,Female,1.41E+11
2012,51,Female,1.28E+11
2012,52,Female,1.09E+11
2012,53,Female,94965049281
2012,54,Female,71210148941
2012,55,Female,50199816631
2012,56,Female,39320589474
2012,57,Female,37586486225
2012,58,Female,26788121373
2012,59,Female,19746012853
2012,60,Female,16578305341
2012,61,Female,15604111407
2012,62,Female,12909124217
2012,63,Female,8726329855
2012,64,Female,7121812568
2012,65,Female,4652230637
2012,66,Female,3319195798
2012,67,Female,2040869821
2012,68,Female,966566381.9
2012,69,Female,371064922
2012,70,Female,12953153
2012,71,Female,470214
2012,72,Female,993150.6849
2013,17,Female,392458030.4
2013,18,Female,5115172095
2013,19,Female,2488803310
2013,20,Female,2500117399
2013,21,Female,5383423185
2013,22,Female,8267075425
2013,23,Female,12452378252
2013,24,Female,19765107098
2013,25,Female,35359941359
2013,26,Female,53225979195
2013,27,Female,73624547681
2013,28,Female,97127554661
2013,29,Female,1.13E+11
2013,30,Female,1.32E+11
2013,31,Female,1.43E+11
2013,32,Female,1.55E+11
2013,33,Female,1.62E+11
2013,34,Female,1.63E+11
2013,35,Female,1.65E+11
2013,36,Female,1.68E+11
2013,37,Female,1.99E+11
2013,38,Female,2.41E+11
2013,39,Female,1.67E+12
2013,40,Female,1.68E+11
2013,41,Female,1.77E+11
2013,42,Female,1.86E+11
2013,43,Female,2.19E+11
2013,44,Female,2.23E+11
2013,45,Female,2.33E+11
2013,46,Female,2.29E+11
2013,47,Female,2.49E+11
2013,48,Female,2.56E+11
2013,49,Female,2.53E+11
2013,50,Female,2.59E+11
2013,51,Female,2.28E+11
2013,52,Female,1.97E+11
2013,53,Female,1.73E+11
2013,54,Female,1.40E+11
2013,55,Female,1.02E+11
2013,56,Female,77561940156
2013,57,Female,60993356869
2013,58,Female,54568398984
2013,59,Female,38443374222
2013,60,Female,33105512801
2013,61,Female,27223435221
2013,62,Female,23604289949
2013,63,Female,19176621037
2013,64,Female,13244750761
2013,65,Female,9603369277
2013,66,Female,6405051620
2013,67,Female,4465460582
2013,68,Female,2483793414
2013,69,Female,898040832.4
2013,70,Female,109530279.6
2013,71,Female,8973389.973
2013,72,Female,3123446.877
2013,75,Female,153232.8767
2013,79,Female,427397.2603
2014,17,Female,373855252.6
2014,18,Female,774984678.2
2014,19,Female,4631730089
2014,20,Female,4261745549
2014,21,Female,5249593746
2014,22,Female,10413474130
2014,23,Female,15564142301
2014,24,Female,27935075606
2014,25,Female,45307377407
2014,26,Female,67793374215
2014,27,Female,1.07E+11
2014,28,Female,1.38E+11
2014,29,Female,1.67E+11
2014,30,Female,1.96E+11
2014,31,Female,2.21E+11
2014,32,Female,2.45E+11
2014,33,Female,2.59E+11
2014,34,Female,2.71E+11
2014,35,Female,2.70E+11
2014,36,Female,2.68E+11
2014,37,Female,2.77E+11
2014,38,Female,3.00E+11
2014,39,Female,3.34E+11
2014,40,Female,1.62E+12
2014,41,Female,2.73E+11
2014,42,Female,2.78E+11
2014,43,Female,3.89E+11
2014,44,Female,3.30E+11
2014,45,Female,3.44E+11
2014,46,Female,3.50E+11
2014,47,Female,3.39E+11
2014,48,Female,3.61E+11
2014,49,Female,3.66E+11
2014,50,Female,3.60E+11
2014,51,Female,3.70E+11
2014,52,Female,3.20E+11
2014,53,Female,2.80E+11
2014,54,Female,2.47E+11
2014,55,Female,1.88E+11
2014,56,Female,1.36E+11
2014,57,Female,1.05E+11
2014,58,Female,79342435448
2014,59,Female,65660135906
2014,60,Female,49469273057
2014,61,Female,43206868809
2014,62,Female,32752148996
2014,63,Female,27490687535
2014,64,Female,20780291601
2014,65,Female,13900108450
2014,66,Female,9942549280
2014,67,Female,6753686823
2014,68,Female,4428303779
2014,69,Female,1975750484
2014,70,Female,271510817.5
2014,71,Female,10288154.45
2014,72,Female,10295444.77
2014,73,Female,2402542.767
2014,74,Female,312876.7123
2014,79,Female,1200000
2014,83,Female,624657.5342
2015,17,Female,1000765460
2015,18,Female,2407907709
2015,19,Female,1835636027
2015,20,Female,5807435916
2015,21,Female,7916846802
2015,22,Female,12812527559
2015,23,Female,21066121991
2015,24,Female,32137755217
2015,25,Female,57636928097
2015,26,Female,78623072919
2015,27,Female,1.20E+11
2015,28,Female,1.71E+11
2015,29,Female,2.15E+11
2015,30,Female,2.55E+11
2015,31,Female,2.91E+11
2015,32,Female,3.34E+11
2015,33,Female,3.67E+11
2015,34,Female,3.81E+11
2015,35,Female,3.99E+11
2015,36,Female,3.91E+11
2015,37,Female,3.95E+11
2015,38,Female,3.91E+11
2015,39,Female,4.31E+11
2015,40,Female,4.45E+11
2015,41,Female,1.64E+12
2015,42,Female,3.98E+11
2015,43,Female,4.73E+11
2015,44,Female,4.94E+11
2015,45,Female,4.78E+11
2015,46,Female,4.81E+11
2015,47,Female,4.83E+11
2015,48,Female,4.53E+11
2015,49,Female,4.85E+11
2015,50,Female,4.79E+11
2015,51,Female,4.70E+11
2015,52,Female,4.79E+11
2015,53,Female,4.10E+11
2015,54,Female,3.55E+11
2015,55,Female,2.98E+11
2015,56,Female,2.16E+11
2015,57,Female,1.65E+11
2015,58,Female,1.25E+11
2015,59,Female,91930358594
2015,60,Female,78714889684
2015,61,Female,61204503209
2015,62,Female,49780675270
2015,63,Female,36663183076
2015,64,Female,29189686957
2015,65,Female,21009281540
2015,66,Female,14400382940
2015,67,Female,10083726100
2015,68,Female,6577085957
2015,69,Female,3451601486
2015,70,Female,658861361.8
2015,71,Female,244571653.4
2015,72,Female,67535268.15
2015,73,Female,25420102.3
2015,74,Female,3917337.288
2015,80,Female,1200000
2015,83,Female,2000000
2016,17,Female,223119479.5
2016,18,Female,1459831875
2016,19,Female,3726232862
2016,20,Female,4262441664
2016,21,Female,8812753014
2016,22,Female,13910140127
